ref;injury;effect
0-6;KEEPING IT TOGETHER;You manage to keep your nerves in check. Barely.
7;NERVOUS TWITCH;Your STRESS LEVEL, and the STRESS LEVEL of all friendly PCs in SHORT range of you, increases by one.
8;TREMBLE;You start to tremble uncontrollably. All skill rolls using AGILITY suffer a –2 modification until your panic stops.
9;DROP ITEM;Whether by stress, confusion or the realization that you’re all going to die anyway, you drop a weapon or other important item—the GM decides which one. Your STRESS LEVEL increases by one.
10;FREEZE;You’re frozen by fear or stress for one Round, losing your next point of action. Your STRESS LEVEL, and the STRESS LEVEL of all friendly PCs in SHORT range of you, increases by one.
11;SEEK COVER;You must use your next action to move away from danger and find a safe spot if possible. You are allowed to make a retreat roll (see page 93) if you have an enemy at ENGAGED range. Your STRESS LEVEL is decreased by one, but the STRESS LEVEL of all friendly PCs in SHORT range increases by one. After one Round, you can act normally.
12;SCREAM;You scream your lungs out for one Round, losing your next point of action. Your STRESS LEVEL is decreased by one, but every friendly character who hears your scream must make an immediate Panic Roll.
13;FLEE;You just can’t take it anymore. You must flee to a safe place and refuse to leave it. You won’t attack anyone and won’t attempt anything dangerous. You are not allowed to make a retreat roll (see page 93) if you have an enemy at ENGAGED range when you flee. Your STRESS LEVEL is decreased by one, but every friendly character who sees you run must make an immediate Panic Roll.
14;BERSERK;You must immediately attack the nearest person or creature, friendly or not. You won’t stop until you or the target is Broken. Every friendly character who witnesses your rampage must make an immediate Panic Roll.
15;CATATONIC;You collapse to the floor and can’t talk or move, staring blankly into oblivion.
